year,geography_id,geography_name,geography_level,parent_district_id,parent_district_name,focus_role,area_type,table_basis,count_male,count_female,count_total,rate,within_area_count,outside_area_count,outside_state_count,source_id,quality_flag
2001,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,URBAN,place_of_residence,2253,1887,4140,7.22,3928,212,,karnataka_crs_2001,
2001,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,1361,851,2212,,1555,657,5,karnataka_crs_2001,
2001,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,1058,652,1710,6.18,1555,155,,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_occurrence,4350,2932,7282,,7206,76,9,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_residence,5517,3592,9109,10.08,7206,1903,,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_occurrence,6227,3989,10216,,7945,2271,82,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_residence,6046,3936,9982,8.98,7945,2037,,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_occurrence,1877,1057,2934,,739,2195,73,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_residence,529,344,873,4.2,739,134,,karnataka_crs_2001,
2001,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,1407,706,2113,,154,1959,70,karnataka_crs_2001,
2001,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,131,84,215,1.87,154,61,,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_occurrence,3955,2535,6490,,6417,73,11,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_residence,4282,2754,7036,7.28,6417,619,,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_occurrence,5976,4032,10008,,9357,651,18,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_residence,6046,4068,10114,7.45,9357,757,,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_occurrence,2021,1497,3518,,2940,578,7,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_residence,1764,1314,3078,7.87,2940,138,,karnataka_crs_2001,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_occurrence,3744,1555,5299,,5047,252,49,karnataka_crs_2002,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_residence,4312,1961,6273,7.11,5047,1226,,karnataka_crs_2002,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_occurrence,5363,2307,7670,,6149,1521,50,karnataka_crs_2002,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_residence,5329,2360,7689,6.94,6149,1540,,karnataka_crs_2002,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_occurrence,1619,752,2371,,1102,1269,1,karnataka_crs_2002,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_residence,1017,399,1416,6.28,1102,314,,karnataka_crs_2002,
2002,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,555,236,791,,570,221,0,karnataka_crs_2002,
2002,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,502,177,679,6.62,570,109,,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,4194,2786,6980,,6786,194,40,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,5948,3743,9691,8.32,6786,2905,,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,8447,5467,13914,,10055,3859,500,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,7923,5112,13035,6.84,10055,2980,,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,4253,2681,6934,,3269,3665,460,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,1975,1369,3344,4.51,3269,75,,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,RURAL,place_of_occurrence,5350,3094,8444,,8383,61,13,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,RURAL,place_of_residence,5945,3474,9419,6.62,8383,1036,,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,TOTAL,place_of_occurrence,7438,4096,11534,,10380,1154,15,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,TOTAL,place_of_residence,7412,4086,11498,6.65,10380,1118,,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,URBAN,place_of_occurrence,2088,1002,3090,,1997,1093,2,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,URBAN,place_of_residence,1467,612,2079,6.79,1997,82,,karnataka_crs_2002,
2002,hassan_cmc,Hassan CMC,town_1_lakh_plus,hassan,Hassan,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,697,373,1070,,700,370,0,karnataka_crs_2002,
2002,hassan_cmc,Hassan CMC,town_1_lakh_plus,hassan,Hassan,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,456,247,703,6.0,700,3,,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,RURAL,place_of_occurrence,1319,504,1823,,1793,30,9,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,RURAL,place_of_residence,1716,649,2365,4.96,1793,572,,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,TOTAL,place_of_occurrence,1945,707,2652,,2122,530,9,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,TOTAL,place_of_residence,1992,757,2749,4.98,2122,627,,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,URBAN,place_of_occurrence,626,203,829,,329,500,0,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,URBAN,place_of_residence,276,108,384,5.1,329,55,,karnataka_crs_2002,
2002,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,3215,1912,5127,,2537,2590,452,karnataka_crs_2002,
2002,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,1562,982,2544,6.27,2537,7,,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,RURAL,place_of_occurrence,3781,1883,5664,,5522,142,57,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,RURAL,place_of_residence,5005,2652,7657,7.11,5522,2135,,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,TOTAL,place_of_occurrence,6975,3470,10445,,8325,2120,72,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,TOTAL,place_of_residence,7094,3552,10646,6.44,8325,2321,,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,URBAN,place_of_occurrence,3194,1587,4781,,2803,1978,15,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,URBAN,place_of_residence,2089,900,2989,5.18,2803,186,,karnataka_crs_2002,
2002,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,1822,895,2717,,1399,1318,12,karnataka_crs_2002,
2002,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,1070,398,1468,5.3,1399,69,,karnataka_crs_2002,
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_occurrence,3957,2952,6909,,6856,53,16,karnataka_crs_2002,
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_residence,,,,,,,,karnataka_crs_2002,missing_death_side
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_occurrence,5618,3974,9592,,7928,1664,57,karnataka_crs_2002,
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_residence,,,,,,,,karnataka_crs_2002,missing_death_side
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_occurrence,1661,1022,2683,,1072,1611,41,karnataka_crs_2002,
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_residence,1012,674,1686,8.21,1072,614,,karnataka_crs_2002,
2002,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,1211,774,1985,,809,1176,39,karnataka_crs_2002,
2002,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,465,347,812,7.22,809,3,,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_occurrence,3883,2508,6391,,6119,272,15,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_residence,4640,2816,7456,7.7,6119,1337,,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_occurrence,5594,3533,9127,,7640,1487,17,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_residence,5639,3536,9175,7.17,7640,1535,,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_occurrence,1711,1025,2736,,1521,1215,2,karnataka_crs_2002,
