year,geography_id,geography_name,geography_level,parent_district_id,parent_district_name,focus_role,area_type,table_basis,count_male,count_female,count_total,rate,within_area_count,outside_area_count,outside_state_count,source_id,quality_flag
2001,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,URBAN,place_of_residence,5524,5166,10690,18.64,9788,902,,karnataka_crs_2001,
2001,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,6026,5668,11694,,6313,5381,60,karnataka_crs_2001,
2001,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,3395,3242,6637,24.01,6313,324,,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_occurrence,4441,4659,9100,,8920,180,24,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_residence,10371,10357,20728,22.94,8920,11808,,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_occurrence,12269,12315,24584,,12272,12312,76,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_residence,12192,12260,24452,22.0,12272,12180,,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_occurrence,7828,7656,15484,,3352,12132,52,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_residence,1821,1903,3724,17.91,3352,372,,karnataka_crs_2001,
2001,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,3066,2947,6013,,366,5647,19,karnataka_crs_2001,
2001,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,295,310,605,5.26,366,239,,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_occurrence,6249,5771,12020,,11427,593,52,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_residence,9620,9290,18910,19.57,11427,7483,,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_occurrence,15235,15004,30239,,21172,9067,214,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_residence,14715,14509,29224,21.53,21172,8052,,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_occurrence,8986,9233,18219,,9745,8474,162,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_residence,5095,5219,10314,26.38,9745,569,,karnataka_crs_2001,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_occurrence,6796,6413,13209,,12263,946,70,karnataka_crs_2002,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_residence,10476,9950,20426,23.16,12263,8163,,karnataka_crs_2002,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_occurrence,13010,12277,25287,,15856,9431,113,karnataka_crs_2002,
