source_id,year,source_title,publisher,package_name,source_url,original_source_url,source_pdf_filename,source_pdf_size_bytes,license_note,date_accessed
karnataka_crs_2001,2001,Karnataka - Total Births and Deaths Data 2001,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/de75d0bb-64b9-4354-971b-071d4cc3e3fe/download/a8799797-1689-444f-9b83-2b6f923a7754.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2001.pdf,6221592,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2002,2002,Karnataka - Total Births and Deaths Data 2002,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/7071f63d-30c0-4fb7-a87b-eac48019691e/download/ee1cbb40-eb00-4a65-8f8e-082c9084562f.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2002.pdf,6958151,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2003,2003,Karnataka - Total Births and Deaths Data 2003,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/4a5de242-add4-4143-b050-ad39243a2268/download/e892d10d-a802-4ba6-8891-48725b799ab2.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2003.pdf,7464071,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2004,2004,Karnataka - Total Births and Deaths Data 2004,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/42f39fc5-27e7-411a-9d4c-2d934183d118/download/2bfd4ef2-9f5f-48d1-9a10-1ee876264be8.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2004.pdf,8957246,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2005,2005,Karnataka - Total Births and Deaths Data 2005,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/54e33fc6-6db2-48b7-8399-6a234aabcf52/download/8222bf2d-4361-4804-b8cb-cd808beaec5f.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2005.pdf,8689343,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2006,2006,Karnataka - Total Births and Deaths Data 2006,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/845df250-6c74-4707-8d95-86a5c38f41d2/download/f71d40f2-bf70-41cd-adb7-151e4e215c0e.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2006.pdf,10395177,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2007,2007,Karnataka - Total Births and Deaths Data 2007,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/09b13bc8-22f9-4971-8353-6df043fa3399/download/83e8dd72-8d61-47dc-867b-045209f81bd8.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2007.pdf,8055791,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2008,2008,Karnataka - Total Births and Deaths Data 2008,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/6682e173-f877-47f9-81f5-b7345d7ce027/download/000cd7b0-8906-4e92-967e-72b2dc4ad591.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2008.pdf,1969712,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2009,2009,Karnataka - Total Births and Deaths Data 2009,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/c2eecf80-baa8-4c82-9978-608ed1fd3806/download/717e17f4-1a3a-4c73-831a-fc2820ef5d44.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2009.pdf,2150119,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2010,2010,Karnataka - Total Births and Deaths Data 2010,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/fed36b37-0359-40d4-8818-d6152ef1878b/download/1f7d62b0-cf1b-481f-b273-d6863759b6ca.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2010.pdf,1879804,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2011,2011,Karnataka - Total Births and Deaths Data 2011,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/96d47514-8c87-4b87-b213-76361a0eb465/download/ac42c460-53d5-48f7-a104-edb295f0f75a.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2011.pdf,1791457,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2012,2012,Karnataka - Total Births and Deaths Data 2012,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/6e541eef-da55-4f77-85ed-e937f0a8699a/download/18601835-f3c6-445e-b1eb-eccae2dbadb8.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2012.pdf,1820629,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2013,2013,Karnataka - Total Births and Deaths Data 2013,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/ccb4120a-9dc8-4831-91cb-98a6a6ead24d/download/270d9caf-4095-4f57-b9a0-3b92acd0c771.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2013.pdf,2235434,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2014,2014,Karnataka - Total Births and Deaths Data 2014,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/402aec1a-581c-4b5e-abb8-602676c1a605/download/b25067f9-ead6-4ce1-b586-32fd797cb42d.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2014.pdf,4742795,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2015,2015,Karnataka - Total Births and Deaths Data 2015,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/eded7f63-1ca9-4e5a-a5a7-2c690289e5fe/download/ce42c2ec-b25a-4266-9c3d-097061b9ee60.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2015.pdf,8398834,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2016,2016,Karnataka - Total Births and Deaths Data 2016,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/90056189-26f9-42ff-a41d-27853805f5fe/download/cc18c548-96ef-4673-b3e5-e7f5c82273ee.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2016.pdf,4605692,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2017,2017,Karnataka - Total Births and Deaths Data 2017,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/2fc50ddd-6f41-4ef7-8927-2e7db99e9d67/download/f9f79583-70e3-4963-b34c-2ad06fcd9eb9.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2017.pdf,3628123,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2018,2018,Karnataka - Total Births and Deaths Data 2018,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/1b1e2d51-39c2-4651-ba23-00ab69f2ed71/download/2804a335-6c4e-4d4f-90ee-c28ad701e482.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2018.pdf,3017909,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2019,2019,Karnataka - Total Births and Deaths Data 2019,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/9cbd35cd-6711-480c-b739-f2efb9df53a8/download/d10745c3-9351-4d49-bf8b-9f82db415a79.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2019.pdf,1460580,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2020,2020,Karnataka - Total Births and Deaths Data 2020,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/0f16fdb2-ff06-4c1b-a4ec-c048509b0066/download/1efca5f4-dae0-435a-b951-04301d86457c.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2020.pdf,26662299,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2021,2021,Karnataka - Total Births and Deaths Data 2021,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/2659e4d9-bf97-40a5-9a3c-03d0c470798e/download/6cd28f71-98ac-4139-a745-32858d4e112c.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2021.pdf,6552837,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2022,2022,Karnataka - Total Births and Deaths Data 2022,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/a641abc0-a93d-4732-a2b0-f019dcb45f9d/download/ca34ef0a-9f99-4524-8f47-8785e7d55cc3.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2022.pdf,9077090,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2023,2023,Karnataka - Total Births and Deaths Data 2023,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/fa4905a7-e336-4c79-a83f-b55b892846f4/download/d5ecb3ad-7d1d-44b6-a74a-399f555bddde.pdf,https://ejanma.karnataka.gov.in,karnataka_crs_2023.pdf,8560622,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
karnataka_crs_2024,2024,Karnataka - Total Births and Deaths in 2024,OpenCity mirror / Government of Karnataka eJanMa,bengaluru-annual-births-and-deaths-data,https://data.opencity.in/dataset/14c80edf-0ee9-4c86-87e5-05f4de7363b0/resource/89c3a1ec-4aec-472f-b3e7-7f95a1225df5/download/crs_2024.pdf,https://ejanma.karnataka.gov.in/,karnataka_crs_2024.pdf,8170314,OpenCity source metadata records this package as Other (Public Domain); verify terms before downstream redistribution.,2026-06-02
