year,geography_id,geography_name,geography_level,parent_district_id,parent_district_name,focus_role,area_type,table_basis,count_male,count_female,count_total,rate,within_area_count,outside_area_count,outside_state_count,source_id,quality_flag
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,5679,3799,9478,7.97,7112,2366,,karnataka_crs_2005,
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,8938,5942,14880,,10629,4251,477,karnataka_crs_2005,
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,8419,5551,13970,6.9,10629,3341,,karnataka_crs_2005,
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,4680,2792,7472,,3517,3955,455,karnataka_crs_2005,
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,2740,1752,4492,5.38,3517,975,,karnataka_crs_2005,
2005,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,3534,2214,5748,,2802,2946,444,karnataka_crs_2005,
2005,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,1629,1194,2823,6.17,2802,21,,karnataka_crs_2005,
2006,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,5227,3038,8265,,8049,216,27,karnataka_crs_2006,
2006,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,6670,3952,10622,8.9,8049,2573,,karnataka_crs_2006,
2006,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,10306,6140,16446,,10716,5730,1007,karnataka_crs_2006,
