record_id,source_family,source_record_type,source_name,source_publisher,source_url,source_title,source_status,source_observed_date,agency,intervention_name,intervention_domain,procurement_stage,project_status_public,procurement_ref_public,tender_id_public,admin_letter_date,notice_date,bid_due_date,award_date,work_order_date,verified_start_date,verified_completion_date,amount_text_public,amount_band_inr,contractor_public,location_tokens,public_geography_scope,source_documents_named,source_document_links_json,source_evidence_short,date_quality,geocode_quality,lawful_use_boundary,source_limitations,related_record_ids
mcc_privacy_reduced_mcc_letter_lead_33aa2bc49742,mcc_processed_letter_privacy_reduced_leads,privacy_reduced_admin_lead,MCC processed-letter intervention lead queue,Mangaluru City Corporation,,MCC privacy-reduced lead mcc_letter_lead_33aa2bc49742,private_source_pending_governance_review_do_not_publish_raw_register,2026-06-05,Mangaluru City Corporation,flood_stormwater_drainage:repair_or_maintenance,flood_stormwater_drainage,candidate_treatment_or_work_order_date,Active,,,2023-01-25,2023-01-25,,,,,,,,,,no_locality_mentioned_in_english_extract,,,"Privacy-reduced MCC administrative lead. Raw sender, subject, document number, reference number, and docket text are not included.",letter_date_and_processed_on_date_are_admin_dates_not_verified_implementation_dates,no_locality_mentioned_in_english_extract,sender_name_subject_reference_number_document_number_and_docket_removed,private_source_pending_governance_review_do_not_publish_raw_register,mcc_letter_lead_33aa2bc49742
mcc_privacy_reduced_mcc_letter_lead_90e789fbcfb7,mcc_processed_letter_privacy_reduced_leads,privacy_reduced_admin_lead,MCC processed-letter intervention lead queue,Mangaluru City Corporation,,MCC privacy-reduced lead mcc_letter_lead_90e789fbcfb7,private_source_pending_governance_review_do_not_publish_raw_register,2026-06-05,Mangaluru City Corporation,utilities_public_realm:permission_or_coordination,utilities_public_realm,candidate_complaint_request_or_context_date,Active,,,2023-01-25,2023-01-25,,,,,,,,,,no_locality_mentioned_in_english_extract,,,"Privacy-reduced MCC administrative lead. Raw sender, subject, document number, reference number, and docket text are not included.",letter_date_and_processed_on_date_are_admin_dates_not_verified_implementation_dates,no_locality_mentioned_in_english_extract,sender_name_subject_reference_number_document_number_and_docket_removed,private_source_pending_governance_review_do_not_publish_raw_register,mcc_letter_lead_90e789fbcfb7
mcc_privacy_reduced_mcc_letter_lead_f55d3c65a848,mcc_processed_letter_privacy_reduced_leads,privacy_reduced_admin_lead,MCC processed-letter intervention lead queue,Mangaluru City Corporation,,MCC privacy-reduced lead mcc_letter_lead_f55d3c65a848,private_source_pending_governance_review_do_not_publish_raw_register,2026-06-05,Mangaluru City Corporation,road_transport_public_realm:permission_or_coordination,road_transport_public_realm,candidate_complaint_request_or_context_date,File,,,2023-02-01,2023-02-01,,,,,,,,,,no_locality_mentioned_in_english_extract,,,"Privacy-reduced MCC administrative lead. Raw sender, subject, document number, reference number, and docket text are not included.",letter_date_and_processed_on_date_are_admin_dates_not_verified_implementation_dates,no_locality_mentioned_in_english_extract,sender_name_subject_reference_number_document_number_and_docket_removed,private_source_pending_governance_review_do_not_publish_raw_register,mcc_letter_lead_f55d3c65a848
mcc_privacy_reduced_mcc_letter_lead_9cae83dadb07,mcc_processed_letter_privacy_reduced_leads,privacy_reduced_admin_lead,MCC processed-letter intervention lead queue,Mangaluru City Corporation,,MCC privacy-reduced lead mcc_letter_lead_9cae83dadb07,private_source_pending_governance_review_do_not_publish_raw_register,2026-06-05,Mangaluru City Corporation,road_transport_public_realm:policy_relevant_register_entry,road_transport_public_realm,candidate_complaint_request_or_context_date,Active,,,2023-02-02,2023-02-02,,,,,,,,,,no_locality_mentioned_in_english_extract,,,"Privacy-reduced MCC administrative lead. Raw sender, subject, document number, reference number, and docket text are not included.",letter_date_and_processed_on_date_are_admin_dates_not_verified_implementation_dates,no_locality_mentioned_in_english_extract,sender_name_subject_reference_number_document_number_and_docket_removed,private_source_pending_governance_review_do_not_publish_raw_register,mcc_letter_lead_9cae83dadb07
mcc_privacy_reduced_mcc_letter_lead_c702c3576c0b,mcc_processed_letter_privacy_reduced_leads,privacy_reduced_admin_lead,MCC processed-letter intervention lead queue,Mangaluru City Corporation,,MCC privacy-reduced lead mcc_letter_lead_c702c3576c0b,private_source_pending_governance_review_do_not_publish_raw_register,2026-06-05,Mangaluru City Corporation,solid_waste_sanitation:policy_relevant_register_entry,solid_waste_sanitation,candidate_complaint_request_or_context_date,Active,,,2023-02-02,2023-02-02,,,,,,,,,,no_locality_mentioned_in_english_extract,,,"Privacy-reduced MCC administrative lead. Raw sender, subject, document number, reference number, and docket text are not included.",letter_date_and_processed_on_date_are_admin_dates_not_verified_implementation_dates,no_locality_mentioned_in_english_extract,sender_name_subject_reference_number_document_number_and_docket_removed,private_source_pending_governance_review_do_not_publish_raw_register,mcc_letter_lead_c702c3576c0b
mcc_privacy_reduced_mcc_letter_lead_4412074f6d14,mcc_processed_letter_privacy_reduced_leads,privacy_reduced_admin_lead,MCC processed-letter intervention lead queue,Mangaluru City Corporation,,MCC privacy-reduced lead mcc_letter_lead_4412074f6d14,private_source_pending_governance_review_do_not_publish_raw_register,2026-06-05,Mangaluru City Corporation,road_transport_public_realm:capital_project_or_public_work,road_transport_public_realm,candidate_treatment_or_work_order_date,Active,,,2023-02-03,2023-02-03,,,,,,,,,Padil,single_locality_mentioned,,,"Privacy-reduced MCC administrative lead. Raw sender, subject, document number, reference number, and docket text are not included.",letter_date_and_processed_on_date_are_admin_dates_not_verified_implementation_dates,single_locality_mentioned,sender_name_subject_reference_number_document_number_and_docket_removed,private_source_pending_governance_review_do_not_publish_raw_register,mcc_letter_lead_4412074f6d14
mcc_privacy_reduced_mcc_letter_lead_c1e07e4916ed,mcc_processed_letter_privacy_reduced_leads,privacy_reduced_admin_lead,MCC processed-letter intervention lead queue,Mangaluru City Corporation,,MCC privacy-reduced lead mcc_letter_lead_c1e07e4916ed,private_source_pending_governance_review_do_not_publish_raw_register,2026-06-05,Mangaluru City Corporation,solid_waste_sanitation:enforcement_notice_or_inspection,solid_waste_sanitation,candidate_governance_or_validation_date,File,,,2023-02-03,2023-02-03,,,,,,,,,,no_locality_mentioned_in_english_extract,,,"Privacy-reduced MCC administrative lead. Raw sender, subject, document number, reference number, and docket text are not included.",letter_date_and_processed_on_date_are_admin_dates_not_verified_implementation_dates,no_locality_mentioned_in_english_extract,sender_name_subject_reference_number_document_number_and_docket_removed,private_source_pending_governance_review_do_not_publish_raw_register,mcc_letter_lead_c1e07e4916ed
mcc_privacy_reduced_mcc_letter_lead_2131c842e029,mcc_processed_letter_privacy_reduced_leads,privacy_reduced_admin_lead,MCC processed-letter intervention lead queue,Mangaluru City Corporation,,MCC privacy-reduced lead mcc_letter_lead_2131c842e029,private_source_pending_governance_review_do_not_publish_raw_register,2026-06-05,Mangaluru City Corporation,solid_waste_sanitation:procurement_contract_or_payment,solid_waste_sanitation,candidate_treatment_or_work_order_date,Active,,,2023-02-04,2023-02-04,,,,,,,,,,no_locality_mentioned_in_english_extract,,,"Privacy-reduced MCC administrative lead. Raw sender, subject, document number, reference number, and docket text are not included.",letter_date_and_processed_on_date_are_admin_dates_not_verified_implementation_dates,no_locality_mentioned_in_english_extract,sender_name_subject_reference_number_document_number_and_docket_removed,private_source_pending_governance_review_do_not_publish_raw_register,mcc_letter_lead_2131c842e029
mcc_privacy_reduced_mcc_letter_lead_4d1a1f203479,mcc_processed_letter_privacy_reduced_leads,privacy_reduced_admin_lead,MCC processed-letter intervention lead queue,Mangaluru City Corporation,,MCC privacy-reduced lead mcc_letter_lead_4d1a1f203479,private_source_pending_governance_review_do_not_publish_raw_register,2026-06-05,Mangaluru City Corporation,public_works_project_management:capital_project_or_public_work,public_works_project_management,candidate_treatment_or_work_order_date,Active,,,2023-02-04,2023-02-04,,,,,,,,,Derebail,single_locality_mentioned,,,"Privacy-reduced MCC administrative lead. Raw sender, subject, document number, reference number, and docket text are not included.",letter_date_and_processed_on_date_are_admin_dates_not_verified_implementation_dates,single_locality_mentioned,sender_name_subject_reference_number_document_number_and_docket_removed,private_source_pending_governance_review_do_not_publish_raw_register,mcc_letter_lead_4d1a1f203479
mcc_privacy_reduced_mcc_letter_lead_224b8c076c38,mcc_processed_letter_privacy_reduced_leads,privacy_reduced_admin_lead,MCC processed-letter intervention lead queue,Mangaluru City Corporation,,MCC privacy-reduced lead mcc_letter_lead_224b8c076c38,private_source_pending_governance_review_do_not_publish_raw_register,2026-06-05,Mangaluru City Corporation,environment_health:policy_relevant_register_entry,environment_health,candidate_complaint_request_or_context_date,Active,,,2023-02-07,2023-02-07,,,,,,,,,,no_locality_mentioned_in_english_extract,,,"Privacy-reduced MCC administrative lead. Raw sender, subject, document number, reference number, and docket text are not included.",letter_date_and_processed_on_date_are_admin_dates_not_verified_implementation_dates,no_locality_mentioned_in_english_extract,sender_name_subject_reference_number_document_number_and_docket_removed,private_source_pending_governance_review_do_not_publish_raw_register,mcc_letter_lead_224b8c076c38
