document_id,source_record_id,source_title,source_family,source_url,parent_document_id,archive_entry_path,document_label,document_url,document_role,priority_score,file_extension,fetch_status,parse_status,page_count,rendered_page_count,text_char_count,table_count,archive_entry_count,money_amount_count,date_count,procurement_ref_count,location_token_count,review_priority,limitations
mscl_doc_47a66abbc1e85ca7,mscl_project_083b6019c8669cba,Smart Road 6,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/43,,,BOQ,https://mangalurusmartcity.net/contents/6700818.17391367-1043390.87835614.pdf,boq,80,.pdf,exists,parsed,3,1,1323830,0,0,8,3,17,4,medium,
mscl_doc_eb2fa93dfbabcf6e,mscl_project_fe66f2c90356ef06,Pedestrian Plaza,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/22,,,BOQ,https://mangalurusmartcity.net/contents/7237755.95763594-208083.31449961.pdf,boq,80,.pdf,exists,parsed,3,1,623515,0,0,7,2,22,2,medium,
mscl_doc_d0e26482cf905d3e,mscl_project_7fc037e25e418d05,Construction of Clock Tower,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/29,,,BOQ,https://mangalurusmartcity.net/contents/7484724.61359795-1460797.67076798.pdf,boq,80,.pdf,exists,parsed,3,1,53,0,0,0,0,0,0,medium,
mscl_doc_f1ec125ff14003b9,mscl_project_f2a84dc69e6d7574,UGD 1,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/45,,,BOQ,https://mangalurusmartcity.net/contents/7507954.38769644-802119.84564499.pdf,boq,80,.pdf,exists,parsed,3,1,205032,0,0,2,0,8,4,medium,
mscl_doc_ad8f2db156bbe7da,mscl_project_7b85572394c04d53,Skill Development Center,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/16,,,BOQ,https://mangalurusmartcity.net/contents/7733259.91711265-1461817.20671624.pdf,boq,80,.pdf,exists,parsed,1,1,1506,0,0,1,0,1,1,medium,
mscl_doc_ef96ac38e6c322ae,mscl_project_7e883d19423fb6a7,Swimming Pool Complex,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/13,,,BOQ,https://mangalurusmartcity.net/contents/8168468.26028473-105307.035050163.pdf,boq,80,.pdf,exists,parsed,3,1,385917,0,0,13,7,42,0,medium,
mscl_doc_d1a9ee46a6667150,mscl_project_3d52e20e27a5b818,Smart Road 5,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/42,,,BOQ,https://mangalurusmartcity.net/contents/8809784.99018111-354746.020590312.pdf,boq,80,.pdf,exists,parsed,3,1,1233917,0,0,8,3,17,3,medium,
mscl_doc_870a10dabe61a2f3,mscl_project_ebb19874b0a0a54b,Implementation of E-Smart School (Civil Infrastructure),mscl_live_public_project_pages,https://mangalurusmartcity.net/project/18,,,BOQ,https://mangalurusmartcity.net/contents/8932779.76612224-134710.26903769.pdf,boq,80,.pdf,exists,parsed,3,1,1680878,0,0,6,10,27,6,medium,
mscl_doc_b4d207d4110951db,mscl_project_58bab29edb7010f7,Conversion of Streetlight to LED,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/33,,,BOQ,https://mangalurusmartcity.net/contents/1695526.47587635-1019173.69775531.rar,boq,70,.rar,exists,archive_inventory_extracted,0,0,0,0,3,0,0,0,0,medium,Archive contents were inventoried; parseable child files were extracted into linked child document records.
mscl_doc_b4d207d4110951db_child_d8ecd42621e3b364,mscl_project_58bab29edb7010f7,Conversion of Streetlight to LED,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/33,mscl_doc_b4d207d4110951db,Final RFP/1.1. DCA final mlr.pdf,1.1. DCA final mlr.pdf,https://mangalurusmartcity.net/contents/1695526.47587635-1019173.69775531.rar#archive-entry=Final%20RFP/1.1.%20DCA%20final%20mlr.pdf,rfp,110,.pdf,archive_extracted,parsed,3,1,450550,0,0,15,6,101,3,high,
