event_month,event_year,family_group,family_group_label,source_label,event_count
2009-04,2009,civic_infrastructure,Civic work,Daijiworld,2
2009-04,2009,fire_emergency,Fire and emergency,Daijiworld,1
2009-04,2009,other,Other,Daijiworld,1
2009-04,2009,crime_public_safety,Public safety,Daijiworld,1
2009-04,2009,road_safety,Road safety,Daijiworld,5
2009-05,2009,civic_infrastructure,Civic work,Daijiworld,6
2009-05,2009,education,Education,Daijiworld,1
2009-05,2009,health,Health,Daijiworld,1
2009-05,2009,crime_public_safety,Public safety,Daijiworld,1
2009-05,2009,road_safety,Road safety,Daijiworld,7
2009-06,2009,civic_infrastructure,Civic work,Daijiworld,4
2009-06,2009,health,Health,Daijiworld,2
2009-06,2009,other,Other,Daijiworld,1
2009-06,2009,crime_public_safety,Public safety,Daijiworld,1
2009-06,2009,flood_weather,Rain and weather,Daijiworld,3
2009-06,2009,road_safety,Road safety,Daijiworld,5
2009-07,2009,civic_infrastructure,Civic work,Daijiworld,5
2009-07,2009,education,Education,Daijiworld,1
2009-07,2009,other,Other,Daijiworld,4
2009-07,2009,crime_public_safety,Public safety,Daijiworld,1
2009-07,2009,flood_weather,Rain and weather,Daijiworld,7
2009-07,2009,road_safety,Road safety,Daijiworld,6
2009-08,2009,civic_infrastructure,Civic work,Daijiworld,1
2009-08,2009,education,Education,Daijiworld,1
2009-08,2009,fire_emergency,Fire and emergency,Daijiworld,4
2009-08,2009,other,Other,Daijiworld,3
2009-08,2009,road_safety,Road safety,Daijiworld,9
2009-09,2009,civic_infrastructure,Civic work,Daijiworld,3
2009-09,2009,other,Other,Daijiworld,1
2009-09,2009,road_safety,Road safety,Daijiworld,2
2009-10,2009,fire_emergency,Fire and emergency,Daijiworld,2
2009-10,2009,other,Other,Daijiworld,1
2009-10,2009,flood_weather,Rain and weather,Daijiworld,22
2009-10,2009,road_safety,Road safety,Daijiworld,3
2009-11,2009,civic_infrastructure,Civic work,Daijiworld,4
2009-11,2009,fire_emergency,Fire and emergency,Daijiworld,1
2009-11,2009,health,Health,Daijiworld,1
2009-11,2009,other,Other,Daijiworld,1
2009-11,2009,flood_weather,Rain and weather,Daijiworld,3
2009-11,2009,road_safety,Road safety,Daijiworld,3
2009-12,2009,education,Education,Daijiworld,1
2009-12,2009,fire_emergency,Fire and emergency,Daijiworld,4
2009-12,2009,health,Health,Daijiworld,1
2009-12,2009,other,Other,Daijiworld,1
2009-12,2009,road_safety,Road safety,Daijiworld,5
2010-01,2010,civic_infrastructure,Civic work,Daijiworld,3
2010-01,2010,fire_emergency,Fire and emergency,Daijiworld,1
2010-01,2010,other,Other,Daijiworld,1
2010-01,2010,crime_public_safety,Public safety,Daijiworld,1
2010-01,2010,road_safety,Road safety,Daijiworld,1
2010-02,2010,civic_infrastructure,Civic work,Daijiworld,3
2010-02,2010,education,Education,Daijiworld,1
2010-02,2010,fire_emergency,Fire and emergency,Daijiworld,3
2010-02,2010,crime_public_safety,Public safety,Daijiworld,1
2010-02,2010,road_safety,Road safety,Daijiworld,6
2010-03,2010,civic_infrastructure,Civic work,Daijiworld,1
2010-03,2010,education,Education,Daijiworld,1
2010-03,2010,crime_public_safety,Public safety,Daijiworld,1
2010-03,2010,road_safety,Road safety,Daijiworld,6
2010-04,2010,civic_infrastructure,Civic work,Daijiworld,1
2010-04,2010,education,Education,Daijiworld,1
2010-04,2010,fire_emergency,Fire and emergency,Daijiworld,2
2010-04,2010,health,Health,Daijiworld,2
2010-04,2010,other,Other,Daijiworld,1
2010-04,2010,road_safety,Road safety,Daijiworld,4
2010-05,2010,civic_infrastructure,Civic work,Daijiworld,3
2010-05,2010,education,Education,Daijiworld,1
2010-05,2010,fire_emergency,Fire and emergency,Daijiworld,5
2010-05,2010,crime_public_safety,Public safety,Daijiworld,1
2010-05,2010,road_safety,Road safety,Daijiworld,38
2010-06,2010,fire_emergency,Fire and emergency,Daijiworld,1
2010-06,2010,crime_public_safety,Public safety,Daijiworld,1
2010-06,2010,flood_weather,Rain and weather,Daijiworld,12
2010-06,2010,road_safety,Road safety,Daijiworld,25
2010-07,2010,civic_infrastructure,Civic work,Daijiworld,2
2010-07,2010,education,Education,Daijiworld,1
2010-07,2010,fire_emergency,Fire and emergency,Daijiworld,6
2010-07,2010,health,Health,Daijiworld,2
2010-07,2010,other,Other,Daijiworld,1
2010-07,2010,flood_weather,Rain and weather,Daijiworld,5
2010-07,2010,road_safety,Road safety,Daijiworld,16
2010-08,2010,civic_infrastructure,Civic work,Daijiworld,8
2010-08,2010,fire_emergency,Fire and emergency,Daijiworld,1
2010-08,2010,governance,Governance,Daijiworld,1
2010-08,2010,health,Health,Daijiworld,3
2010-08,2010,other,Other,Daijiworld,2
2010-08,2010,flood_weather,Rain and weather,Daijiworld,1
2010-08,2010,road_safety,Road safety,Daijiworld,10
2010-09,2010,civic_infrastructure,Civic work,Daijiworld,4
2010-09,2010,education,Education,Daijiworld,2
2010-09,2010,fire_emergency,Fire and emergency,Daijiworld,1
2010-09,2010,governance,Governance,Daijiworld,1
2010-09,2010,health,Health,Daijiworld,1
2010-09,2010,other,Other,Daijiworld,1
2010-09,2010,crime_public_safety,Public safety,Daijiworld,1
2010-09,2010,road_safety,Road safety,Daijiworld,7
2010-10,2010,civic_infrastructure,Civic work,Daijiworld,2
2010-10,2010,education,Education,Daijiworld,3
2010-10,2010,health,Health,Daijiworld,2
2010-10,2010,crime_public_safety,Public safety,Daijiworld,1
2010-10,2010,flood_weather,Rain and weather,Daijiworld,1
2010-10,2010,road_safety,Road safety,Daijiworld,5
2010-11,2010,civic_infrastructure,Civic work,Daijiworld,1
2010-11,2010,education,Education,Daijiworld,2
2010-11,2010,health,Health,Daijiworld,2
2010-11,2010,other,Other,Daijiworld,1
2010-11,2010,road_safety,Road safety,Daijiworld,9
2010-12,2010,civic_infrastructure,Civic work,Daijiworld,1
2010-12,2010,education,Education,Daijiworld,5
2010-12,2010,fire_emergency,Fire and emergency,Daijiworld,2
2010-12,2010,health,Health,Daijiworld,1
2010-12,2010,other,Other,Daijiworld,1
2010-12,2010,road_safety,Road safety,Daijiworld,2
2011-01,2011,education,Education,Daijiworld,1
2011-01,2011,health,Health,Daijiworld,1
2011-01,2011,other,Other,Daijiworld,1
2011-01,2011,crime_public_safety,Public safety,Daijiworld,2
2011-01,2011,road_safety,Road safety,Daijiworld,5
2011-02,2011,civic_infrastructure,Civic work,Daijiworld,1
2011-02,2011,fire_emergency,Fire and emergency,Daijiworld,1
2011-02,2011,health,Health,Daijiworld,1
2011-02,2011,crime_public_safety,Public safety,Daijiworld,1
2011-02,2011,road_safety,Road safety,Daijiworld,4
2011-03,2011,civic_infrastructure,Civic work,Daijiworld,2
2011-03,2011,fire_emergency,Fire and emergency,Daijiworld,3
2011-03,2011,flood_weather,Rain and weather,Daijiworld,2
2011-03,2011,road_safety,Road safety,Daijiworld,10
2011-04,2011,civic_infrastructure,Civic work,Daijiworld,5
2011-04,2011,education,Education,Daijiworld,2
2011-04,2011,flood_weather,Rain and weather,Daijiworld,1
2011-04,2011,road_safety,Road safety,Daijiworld,12
2011-05,2011,civic_infrastructure,Civic work,Daijiworld,6
2011-05,2011,education,Education,Daijiworld,1
2011-05,2011,fire_emergency,Fire and emergency,Daijiworld,4
2011-05,2011,other,Other,Daijiworld,2
2011-05,2011,flood_weather,Rain and weather,Daijiworld,1
2011-05,2011,road_safety,Road safety,Daijiworld,15
2011-06,2011,civic_infrastructure,Civic work,Daijiworld,4
2011-06,2011,fire_emergency,Fire and emergency,Daijiworld,2
2011-06,2011,health,Health,Daijiworld,1
2011-06,2011,crime_public_safety,Public safety,Daijiworld,1
2011-06,2011,flood_weather,Rain and weather,Daijiworld,2
2011-06,2011,road_safety,Road safety,Daijiworld,11
2011-07,2011,civic_infrastructure,Civic work,Daijiworld,7
2011-07,2011,education,Education,Daijiworld,1
