event_id,event_year,event_month,published_date,event_date,source_id,source_label,topic_label,domain,event_type,selected_location_name,map_lat,map_lon,map_precision,title,url
CAND_NAMMA_KUDLA_NEWS_cc87812fbe6f,2024,2024-02,2024-02-24,2024-02-24,nammakudla_news,Namma Kudla News,Road safety,road_safety,road_crash,Surathkal,12.9797,74.8039,locality,Surathkal: ಸ್ಕೂಟರ್‌ಗೆ ರೆಡಿಮಿಕ್ಸ್‌ ವಾಹನ ಢಿಕ್ಕಿ- ಶಿಕ್ಷಕಿ ಸಾವು..!,https://www.nammakudlanews.com/surathkal-ready-mix-vehicle-collides-with-scooter-teacher-dies/
CAND_NAMMA_KUDLA_NEWS_e356f11a950e,2024,2024-10,2024-10-23,2024-10-23,nammakudla_news,Namma Kudla News,Coastal environment,coastal_risk,coastal_hazard,Surathkal,12.9797,74.8039,locality,ಸುರತ್ಕಲ್: ಸಮುದ್ರದಲ್ಲಿ ಆಡಲು ಹೋಗಿ ಸಮುದ್ರಪಾಲಾದ ಯವಕ,https://www.nammakudlanews.com/the-young-man-of-samudrapala-went-to-play-in-the-sea/
CAND_NAMMA_KUDLA_NEWS_e7074e5817cd,2024,2024-03,2024-03-16,2024-03-16,nammakudla_news,Namma Kudla News,Civic work,sanitation,solid_waste_or_sanitation_issue,Surathkal,12.9797,74.8039,locality,ಚುನಾವಣೆಗೆ ಸ್ಪರ್ಧಿಸ್ತಾರಾ ಸತ್ಯಜಿತ್ ಸುರತ್ಕಲ್‌…?,https://www.nammakudlanews.com/will-sthyajith-surakthkal-contesting-loksabha-election/
CAND_NAMMA_KUDLA_NEWS_ef5adad58d9a,2024,2024-02,2024-02-22,2024-02-22,nammakudla_news,Namma Kudla News,Coastal environment,coastal_risk,coastal_hazard,Surathkal,12.9797,74.8039,locality,ಸುರತ್ಕಲ್ : ಸಮುದ್ರದಲ್ಲಿ ಸ್ನಾನ ಮಾಡುತ್ತಿದ್ದಾಗ ಹೃದಯಾಘಾತ-ಯುವಕ ಸಾವು,https://www.nammakudlanews.com/heart-attack-while-bathing-in-the-sea/
NEWS_NIE_2024_05_25_DRAIN_FATAL,2024,2024-05,2024-05-25,2024-05-24,new_indian_express,Other sources,Rain and weather,flood,urban_flooding,Kottara,12.9058,74.8382,locality,,https://www.newindianexpress.com/states/karnataka/2024/May/25/mangalore-auto-driver-drowns-in-overflowing-drain-officials-booked-for-negligence
CAND_NAMMA_KUDLA_NEWS_6cba9bd9867b,2025,2025-04,2025-04-16,2025-04-16,nammakudla_news,Namma Kudla News,Coastal environment,coastal_risk,coastal_hazard,Surathkal,12.9797,74.8039,locality,"ಮದುವೆ ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ಬಂದವರು ನೀ*ರುಪಾಲು; ಓರ್ವ ಸಾ*ವು, ಮತ್ತೋರ್ವ ನಾಪತ್ತೆ",https://www.nammakudlanews.com/people-attending-a-wedding-event-drown-one-dead-another-missing/
CAND_NAMMA_KUDLA_NEWS_c560d153eb83,2025,2025-08,2025-08-25,2025-08-25,nammakudla_news,Namma Kudla News,Coastal environment,coastal_risk,coastal_hazard,Surathkal,12.9797,74.8039,locality,"ಮಂಗಳೂರು: ಈಜಾಡಲು ಕಡಲಿಗಿಳಿದ ಯುವಕರು; ಓರ್ವ ನೀರುಪಾಲು, ಮೂವರ ರಕ್ಷಣೆ",https://www.nammakudlanews.com/mangaluru-youths-who-went-into-the-sea-for-swimming-one-drowned-three-rescued/
NEWS_DAIJI_2025_04_10_PED,2025,2025-04,2025-04-10,2025-04-10,daijiworld,Daijiworld,Road safety,road_safety,road_crash,Kottara Chowki,12.910302,74.836243,junction,,https://www.daijiworld.com/news/newsDisplay?newsID=1277308
NEWS_DAIJI_2025_05_26_FLOOD,2025,2025-05,2025-05-26,2025-05-26,daijiworld,Daijiworld,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://www.daijiworld.com/news/newsDisplay?newsID=1281627
CAND_DAIJI_1314272,2026,2026-05,2026-05-12,2026-05-12,daijiworld,Daijiworld,Road safety,road_safety,road_crash,Pumpwell,12.857423,74.856686,junction,Mangaluru Smart City still awaits bus bays as traffic woes persist,https://www.daijiworld.com/news/newsDisplay?newsID=1314272
CAND_DAIJI_1315217,2026,2026-05,2026-05-23,2026-05-23,daijiworld,Daijiworld,Civic work,public_works,civic_infrastructure_intervention,Baikampady,12.954508,74.82208,locality,Centre approves Rs 414.16 crore flyover project from Baikampady to KIOCL Junction: MP Brijesh Chowta,https://www.daijiworld.com/news/newsDisplay?newsID=1315217
CAND_MANGALORE_TODAY_13442f4256ff,2026,2026-05,2026-05-25,2026-05-25,mangalore_today,Mangalore Today,Road safety,road_safety,road_crash,Surathkal,12.9797,74.8039,locality,"Surathkal: Bike rider killed, two injured as motorcycle collides with lorry",https://www.mangaloretoday.com/main/Surathkal-Bike-rider-killed-two-injured-as-motorcycle-collides-with-lorry.html
CAND_NAMMA_KUDLA_NEWS_06ad4cf52c42,2026,2026-05,2026-05-28,2026-05-28,nammakudla_news,Namma Kudla News,Road safety,road_safety,road_crash,Surathkal,12.9797,74.8039,locality,ಮೂಲ್ಕಿ: ಬೈಕ್ ಕದ್ದ ಇಬ್ಬರು ಆರೋಪಿಗಳು ಅರೆಸ್ಟ್,https://www.nammakudlanews.com/mulki-two-accused-arrested-for-stealing-a-bike/
NEWS_DAIJI_2026_05_15_RAIN_INJURY,2026,2026-05,2026-05-15,2026-05-14,daijiworld,Daijiworld,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://daijiworld.com/index.php/news/newsDisplay?newsID=1314519
NEWS_MT_2026_02_10_TRAFFIC_SAFETY,2026,2026-02,2026-02-10,2026-02-10,mangalore_today,Mangalore Today,Road safety,road_safety,road_crash,Kottara Chowki,12.910302,74.836243,junction,,https://www.mangaloretoday.com/main/Mangaluru-Residents-protest-at-Kottara-Chowki-Malemar-over-road-traffic-and-safety-issues.html
NEWS_TOI_2026_02_15_FLOOD_HEALTH,2026,2026-02,2026-02-15,2026-02-15,times_of_india,Other sources,Rain and weather,flood_sanitation,drainage_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://timesofindia.indiatimes.com/city/mangaluru/mangaluru-localities-near-mcc-hq-battling-sewage-floods-despite-decades-of-appeals/articleshow/128390882.cms
NEWS_TOI_2026_02_20_FLOOD_PREP,2026,2026-02,2026-02-20,2026-02-20,times_of_india,Other sources,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://timesofindia.indiatimes.com/city/mangaluru/dc-directs-mcc-to-prevent-artificial-flooding/articleshow/128618029.cms
NEWS_TOI_2026_05_21_FLOOD_PREP,2026,2026-05,2026-05-21,2026-05-21,times_of_india,Other sources,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://timesofindia.indiatimes.com/city/mangaluru/nhai-launches-flood-mitigation-measures-for-dk-udupi/articleshow/131250044.cms
