place_label,event_family,event_family_label,event_count,place_event_count
Vamanjoor,crime_public_safety,Public safety,5,45
Vamanjoor,fire_emergency,Fire and emergency,4,45
Vamanjoor,civic_infrastructure,Civic work,3,45
Vamanjoor,education,Education,3,45
Vamanjoor,public_order,Public order,3,45
Vamanjoor,building_workplace_safety,Building and workplace safety,1,45
Vamanjoor,communal_tension_or_discrimination,Communal tension,1,45
Vamanjoor,transport_service,Transport service,1,45
Baikampady,road_safety,Road safety,19,43
Baikampady,civic_infrastructure,Civic work,7,43
Baikampady,fire_emergency,Fire and emergency,5,43
Baikampady,flood_weather,Rain and weather,4,43
Baikampady,public_order,Public order,3,43
Baikampady,health,Health,2,43
Baikampady,building_workplace_safety,Building and workplace safety,1,43
Baikampady,crime_public_safety,Public safety,1,43
Baikampady,governance,Governance,1,43
Jeppinamogaru,road_safety,Road safety,17,39
Jeppinamogaru,flood_weather,Rain and weather,6,39
Jeppinamogaru,governance,Governance,6,39
Jeppinamogaru,fire_emergency,Fire and emergency,4,39
Jeppinamogaru,civic_infrastructure,Civic work,1,39
Jeppinamogaru,crime_public_safety,Public safety,1,39
Jeppinamogaru,other_public_news_event,Other public news,1,39
Jeppinamogaru,public_event,Public events,1,39
Jeppinamogaru,public_order,Public order,1,39
Jeppinamogaru,transport_service,Transport service,1,39
Bondel,road_safety,Road safety,21,36
Kottara Chowki,road_safety,Road safety,14,36
Kottara Chowki,flood_weather,Rain and weather,9,36
Bondel,civic_infrastructure,Civic work,7,36
Kottara Chowki,civic_infrastructure,Civic work,6,36
Bondel,fire_emergency,Fire and emergency,5,36
Bondel,flood_weather,Rain and weather,2,36
Kottara Chowki,crime_public_safety,Public safety,2,36
Kottara Chowki,health,Health,2,36
Bondel,policy_context_other,Other policy context,1,36
Kottara Chowki,fire_emergency,Fire and emergency,1,36
Kottara Chowki,governance,Governance,1,36
Kottara Chowki,transport_service,Transport service,1,36
Balmatta,civic_infrastructure,Civic work,14,35
Balmatta,road_safety,Road safety,12,35
Balmatta,crime_public_safety,Public safety,2,35
Balmatta,fire_emergency,Fire and emergency,2,35
Balmatta,health,Health,2,35
Balmatta,education,Education,1,35
Balmatta,flood_weather,Rain and weather,1,35
Balmatta,transport_service,Transport service,1,35
Kottara,flood_weather,Rain and weather,10,25
Kottara,road_safety,Road safety,5,25
Kottara,transport_service,Transport service,3,25
Kottara,civic_infrastructure,Civic work,2,25
Kottara,fire_emergency,Fire and emergency,2,25
Kottara,education,Education,1,25
Kottara,policy_context_other,Other policy context,1,25
Kottara,public_order,Public order,1,25
Ullal,health,Health,9,19
mrpl,civic_infrastructure,Civic work,6,19
mrpl,fire_emergency,Fire and emergency,4,19
mrpl,road_safety,Road safety,4,19
Ullal,civic_infrastructure,Civic work,3,19
Ullal,education,Education,3,19
Ullal,road_safety,Road safety,3,19
mrpl,health,Health,3,19
Ullal,fire_emergency,Fire and emergency,1,19
mrpl,education,Education,1,19
mrpl,governance,Governance,1,19
KPT,road_safety,Road safety,11,18
Falnir,fire_emergency,Fire and emergency,4,18
Falnir,health,Health,4,18
panambur,civic_infrastructure,Civic work,4,18
panambur,road_safety,Road safety,4,18
Falnir,civic_infrastructure,Civic work,3,18
Falnir,road_safety,Road safety,3,18
KPT,flood_weather,Rain and weather,2,18
panambur,coastal_environment,Coastal environment,2,18
panambur,crime_public_safety,Public safety,2,18
panambur,education,Education,2,18
panambur,fire_emergency,Fire and emergency,2,18
panambur,governance,Governance,2,18
Falnir,communal_tension_or_discrimination,Communal tension,1,18
Falnir,crime_public_safety,Public safety,1,18
Falnir,flood_weather,Rain and weather,1,18
Falnir,policy_context_other,Other policy context,1,18
KPT,civic_infrastructure,Civic work,1,18
KPT,education,Education,1,18
KPT,fire_emergency,Fire and emergency,1,18
KPT,governance,Governance,1,18
KPT,public_order,Public order,1,18
Adyar,road_safety,Road safety,11,17
Adyar,fire_emergency,Fire and emergency,3,17
Adyar,education,Education,1,17
Adyar,flood_weather,Rain and weather,1,17
Adyar,transport_service,Transport service,1,17
KMC Hospital,health,Health,13,16
Shaktinagar,road_safety,Road safety,8,16
Shaktinagar,civic_infrastructure,Civic work,3,16
Shaktinagar,flood_weather,Rain and weather,3,16
KMC Hospital,road_safety,Road safety,2,16
KMC Hospital,building_workplace_safety,Building and workplace safety,1,16
Shaktinagar,building_workplace_safety,Building and workplace safety,1,16
Shaktinagar,health,Health,1,16
Nethravathi Bridge,road_safety,Road safety,12,15
Urwa,road_safety,Road safety,7,15
Urwa,civic_infrastructure,Civic work,5,15
Nethravathi Bridge,civic_infrastructure,Civic work,3,15
Urwa,governance,Governance,2,15
Urwa,health,Health,1,15
